Title 	 NN
: 	 :
Weapons 	 NNS
of 	 IN
the 	 DT
( 	 -LRB-
near 	 JJ
) 	 -RRB-
future 	 NN

 	 _SP
Author 	 NN
: 	 :
Roland 	 NNP
Fischer 	 NNP

 	 _SP
Abstract 	 NNP
: 	 :
What 	 WDT
weapons 	 NNS
will 	 MD
be 	 VB
used 	 VBN
to 	 TO
fight 	 VB
the 	 DT
wars 	 NNS
of 	 IN
the 	 DT
future 	 NN
and 	 CC
to 	 TO
defend 	 VB
our 	 PRP$
borders 	 NNS
? 	 .
A 	 DT
glance 	 NN
at 	 IN
some 	 DT
of 	 IN
the 	 DT
latest 	 JJS
technology 	 NN
and 	 CC
developments 	 NNS
shows 	 VBZ
that 	 IN
science 	 NN
fiction 	 NN
is 	 VBZ
already 	 RB
becoming 	 VBG
science 	 NN
fact 	 NN
. 	 .

 	 _SP

 	 _SP
Illustrations 	 NNS
by 	 IN
1kilo 	 CD

 	 _SP
Microwave 	 NN
weapons 	 NNS

 	 _SP
The 	 DT
American 	 NNP
Air 	 NNP
Force 	 NNP
recently 	 RB
confirmed 	 VBD
that 	 IN
the 	 DT
Lockheed 	 NNP
AC-130 	 NNP
gunship 	 NN
– 	 :
a 	 DT
combination 	 NN
of 	 IN
troop 	 NN
transporter 	 NN
and 	 CC
combat 	 NN
aircraft 	 NN
– 	 :
is 	 VBZ
going 	 VBG
to 	 TO
be 	 VB
equipped 	 VBN
with 	 IN
microwave 	 NN
weapons 	 NNS
. 	 .
Such 	 JJ
' 	 ``
active 	 JJ
denial 	 JJ
systems 	 NNS
' 	 ''
have 	 VBP
been 	 VBN
undergoing 	 VBG
tests 	 NNS
for 	 IN
several 	 JJ
years 	 NNS
, 	 ,
including 	 VBG
for 	 IN
use 	 NN
against 	 IN
violent 	 JJ
crowds 	 NNS
. 	 .
They 	 PRP
are 	 VBP
intended 	 VBN
to 	 TO
incapacitate 	 VB
people 	 NNS
temporarily 	 RB
: 	 :
the 	 DT
microwaves 	 NNS
heat 	 VBP
the 	 DT
surface 	 NN
of 	 IN
the 	 DT
skin 	 NN
, 	 ,
creating 	 VBG
intense 	 JJ
pain 	 NN
. 	 .
It 	 PRP
is 	 VBZ
still 	 RB
being 	 VBG
debated 	 VBN
whether 	 IN
or 	 CC
not 	 RB
these 	 DT
microwaves 	 NNS
are 	 VBP
truly 	 RB
harmless 	 JJ
to 	 IN
humans 	 NNS
. 	 .
Experts 	 NNS
believe 	 VBP
that 	 IN
such 	 JJ
systems 	 NNS
have 	 VBP
not 	 RB
yet 	 RB
entered 	 VBN
into 	 IN
widespread 	 JJ
use 	 NN
because 	 IN
the 	 DT
political 	 JJ
will 	 NN
is 	 VBZ
absent 	 JJ
– 	 :
not 	 RB
because 	 IN
of 	 IN
any 	 DT
technological 	 JJ
considerations 	 NNS
. 	 .

 	 _SP
Lasers 	 NNS

 	 _SP
Laser 	 NN
weapons 	 NNS
that 	 WDT
cut 	 VBP
and 	 CC
destroy 	 VB
reached 	 VBD
a 	 DT
point 	 NN
of 	 IN
technical 	 JJ
readiness 	 NN
a 	 DT
few 	 JJ
years 	 NNS
ago 	 RB
. 	 .
The 	 DT
US 	 NNP
battleship 	 NN
USS 	 NNP
Ponce 	 NNP
has 	 VBZ
been 	 VBN
patrolling 	 VBG
the 	 DT
Persian 	 NNP
Gulf 	 NNP
since 	 IN
2014 	 CD
with 	 IN
a 	 DT
laser 	 NN
canon 	 NN
as 	 IN
its 	 PRP$
standard 	 JJ
weapon 	 NN
system 	 NN
. 	 .
The 	 DT
precise 	 JJ
technical 	 JJ
data 	 NNS
of 	 IN
the 	 DT
canon 	 NNP
is 	 VBZ
still 	 RB
secret 	 JJ
. 	 .
But 	 CC
experts 	 NNS
assume 	 VBP
that 	 IN
this 	 DT
weapon 	 NN
, 	 ,
which 	 WDT
is 	 VBZ
supposedly 	 RB
based 	 VBN
on 	 IN
a 	 DT
standard 	 NN
, 	 ,
30 	 CD
kilowatt 	 NN
, 	 ,
commercial 	 JJ
cutting 	 NN
laser 	 NN
, 	 ,
has 	 VBZ
a 	 DT
range 	 NN
of 	 IN
one 	 CD
kilometre 	 NN
for 	 IN
thin 	 JJ
- 	 HYPH
walled 	 JJ
targets 	 NNS
. 	 .
A 	 DT
whole 	 JJ
series 	 NN
of 	 IN
other 	 JJ
directed 	 VBN
- 	 HYPH
energy 	 NN
weapons 	 NNS
are 	 VBP
currently 	 RB
also 	 RB
being 	 VBG
tested 	 VBN
. 	 .

 	 _SP
Remote 	 NNP
- 	 HYPH
controlled 	 VBN
insects 	 NNS

 	 _SP
Nature 	 NN
is 	 VBZ
superior 	 JJ
to 	 IN
our 	 PRP$
technology 	 NN
in 	 IN
many 	 JJ
ways 	 NNS
. 	 .
So 	 RB
why 	 WRB
not 	 RB
bring 	 VB
together 	 RB
biology 	 NN
and 	 CC
technological 	 JJ
progress 	 NN
? 	 .
One 	 CD
of 	 IN
the 	 DT
most 	 RBS
surprising 	 JJ
research 	 NN
programmes 	 NNS
of 	 IN
the 	 DT
Defense 	 NNP
Advanced 	 NNP
Research 	 NNP
Projects 	 NNPS
Agency 	 NNP
( 	 -LRB-
DARPA 	 NNP
) 	 -RRB-
, 	 ,
a 	 DT
branch 	 NN
of 	 IN
the 	 DT
US 	 NNP
Defense 	 NNP
Department 	 NNP
, 	 ,
is 	 VBZ
called 	 VBN
' 	 ``
Hybrid 	 NNP
Insect 	 NNP
Micro 	 NNP
- 	 HYPH
Electro- 	 NNP
Mechanical 	 NNP
Systems 	 NNPS
' 	 ''
. 	 .
It 	 PRP
is 	 VBZ
trying 	 VBG
to 	 TO
breed 	 VB
crawling 	 VBG
and 	 CC
flying 	 VBG
insects 	 NNS
into 	 IN
which 	 WDT
microcontrollers 	 NNS
have 	 VBP
already 	 RB
been 	 VBN
inserted 	 VBN
at 	 IN
the 	 DT
larval 	 JJ
stage 	 NN
, 	 ,
and 	 CC
which 	 WDT
then 	 RB
develop 	 VBP
into 	 IN
remote 	 RB
- 	 HYPH
controlled 	 VBN
, 	 ,
hybrid 	 JJ
beings 	 NNS
. 	 .
These 	 DT
could 	 MD
be 	 VB
used 	 VBN
primarily 	 RB
in 	 IN
the 	 DT
areas 	 NNS
of 	 IN
surveillance 	 NN
and 	 CC
espionage 	 NN
. 	 .
The 	 DT
researchers 	 NNS
have 	 VBP
also 	 RB
been 	 VBN
investigating 	 VBG
biological 	 JJ
weapons 	 NNS
. 	 .
But 	 CC
very 	 RB
little 	 JJ
has 	 VBZ
emerged 	 VBN
as 	 RB
yet 	 RB
about 	 IN
any 	 DT
concrete 	 JJ
research 	 NN
successes 	 NNS
. 	 .

 	 _SP
' 	 ``
Rods 	 NNS
from 	 IN
God 	 NNP
' 	 POS

 	 _SP
The 	 DT
1979 	 CD
SALT 	 NN
II 	 NNP
Treaty 	 NNP
forbids 	 VBZ
the 	 DT
deployment 	 NN
of 	 IN
weapons 	 NNS
of 	 IN
mass 	 JJ
destruction 	 NN
in 	 IN
orbit 	 NN
. 	 .
Conventional 	 JJ
weapon 	 NN
systems 	 NNS
are 	 VBP
nevertheless 	 RB
being 	 VBG
developed 	 VBN
, 	 ,
including 	 VBG
an 	 DT
idea 	 NN
that 	 IN
the 	 DT
science 	 NN
fiction 	 NN
author 	 NN
Jerry 	 NNP
Pournelle 	 NNP
came 	 VBD
up 	 RP
with 	 IN
in 	 IN
the 	 DT
1950s 	 NNS
and 	 CC
that 	 IN
he 	 PRP
called 	 VBD
the 	 DT
' 	 ``
Thor 	 NNP
project 	 NN
' 	 ''
. 	 .
This 	 DT
involved 	 JJ
metal 	 NN
objects 	 NNS
being 	 VBG
dropped 	 VBN
by 	 IN
satellites 	 NNS
with 	 IN
